family,config,n,n_at_6,n_at_5,n_at_4,mean_cal,total_exc,R_PICPOC_mean,R_PICPOC_off,R_PICPOC_eqpac,R_PICPOC_natlsubpolar,alpfe_cal_rate,scav_rat_cal_rate,R_PICPOC_cal_rate
baseline_pr57,baseline,15,0,7,10,3.933,14,0.02995454501360655,0.36465277061703943,0.007863867624352375,0.07883701336880525,0.8666666666666667,0.7333333333333333,0.7333333333333333
pic_alone_pr59,picabsW0.3,5,0,0,0,1.8,3,0.011618367210030556,0.7263046567884313,0.005988937243819237,0.024075226113200187,0.0,0.0,0.0
pic_alone_pr59,picabsW1.0,5,0,0,0,1.6,0,0.012609190121293069,0.7029637163742086,0.00650341073051095,0.02612011879682541,0.0,0.0,0.0
pic_alone_pr59,picabsW3.0,5,0,0,0,1.8,0,0.013078812696039676,0.6919007580900011,0.006717836484313011,0.02715444341301918,0.0,0.0,0.0
pic_alone_pr59,picabsW10.0,5,0,0,0,2.0,0,0.012771583348512649,0.6991381986180885,0.006967705301940441,0.025614462420344354,0.0,0.0,0.0
paired_heavy_pr59,poc0.3_pic0.3,5,0,0,0,1.8,4,0.021275345608592032,0.49881399743836924,0.010348349064588546,0.045454710349440576,0.0,0.0,0.4
paired_heavy_pr59,poc1.0_pic1.0,5,0,0,0,2.4,0,0.021570510417222976,0.49186076277623203,0.010483338683843612,0.04610431231558323,0.0,0.0,0.4
paired_heavy_pr59,poc3.0_pic1.0,5,0,0,0,2.0,0,0.015613231994211673,0.6321971227068512,0.011227401718497277,0.025318241305649282,0.0,0.0,0.0
paired_heavy_pr59,poc1.0_pic3.0,5,0,0,0,2.4,1,0.022722403518855572,0.46472547155198923,0.01005845032632351,0.05074532516300678,0.0,0.0,0.4
paired_light_pr59,poc0.05_pic0.3,5,0,0,0,1.6,0,0.018097312934696675,0.5736793143710643,0.007679208274930715,0.041150597482919694,0.0,0.0,0.2
paired_light_pr59,poc0.1_pic0.5,5,0,0,0,1.0,1,0.01766599714756012,0.5838398748232242,0.008123717363923788,0.03878124877810478,0.0,0.0,0.0
paired_light_pr59,poc0.1_pic1.0,5,0,0,0,1.6,1,0.0162997804582119,0.6160240138621168,0.008026650454849005,0.034606643579900266,0.0,0.0,0.0
paired_light_pr59,poc0.5_pic1.0,5,0,0,0,1.4,4,0.022671424224972724,0.46592639721423745,0.010038205981254577,0.05062633343040943,0.0,0.0,0.4
