config,seed,alpfe_cal,scav_rat_cal,Smallgrow_cal,Biggrow_cal,diatomgraz_cal,R_PICPOC_cal,k_of_6
a1_pic_002,0,0,0,1,1,0,0,2
a1_pic_002,1,0,0,1,1,1,1,4
a1_pic_002,2,0,0,0,1,0,0,1
a1_pic_002,3,0,0,0,1,0,0,1
a1_pic_002,4,0,0,0,1,0,0,1
a1_pic_002,5,0,0,1,1,1,0,3
a1_pic_002,6,0,0,1,1,0,0,2
a1_pic_002,7,0,0,0,1,1,0,2
a1_pic_002,8,0,0,1,0,0,0,1
a1_pic_002,9,0,0,1,1,0,0,2
a1_pic_005,0,0,0,1,1,0,0,2
a1_pic_005,1,0,0,1,1,1,1,4
a1_pic_005,2,0,0,1,1,0,0,2
a1_pic_005,3,0,0,0,1,0,0,1
a1_pic_005,4,0,0,0,1,0,0,1
a1_pic_005,5,0,0,1,1,1,0,3
a1_pic_005,6,0,0,1,1,0,0,2
a1_pic_005,7,0,0,0,1,1,0,2
a1_pic_005,8,0,0,1,1,0,0,2
a1_pic_005,9,0,0,1,1,0,0,2
a1_pic_010,0,0,0,1,1,0,0,2
a1_pic_010,1,0,0,1,1,1,1,4
a1_pic_010,2,0,0,1,1,0,0,2
a1_pic_010,3,0,0,0,1,0,0,1
a1_pic_010,4,0,0,0,1,0,0,1
a1_pic_010,5,0,0,1,1,0,0,2
a1_pic_010,6,0,0,1,1,1,0,3
a1_pic_010,7,0,0,0,1,1,0,2
a1_pic_010,8,0,0,1,1,0,0,2
a1_pic_010,9,0,0,1,1,0,0,2
a1_pic_020,0,0,0,1,1,0,0,2
a1_pic_020,1,0,0,1,1,0,1,3
a1_pic_020,2,0,0,1,1,1,0,3
a1_pic_020,3,0,0,0,1,0,0,1
a1_pic_020,4,0,0,0,1,0,0,1
a1_pic_020,5,0,0,1,1,0,0,2
a1_pic_020,6,0,0,1,1,1,0,3
a1_pic_020,7,0,0,0,1,1,0,2
a1_pic_020,8,0,0,1,1,0,0,2
a1_pic_020,9,0,0,1,1,1,0,3
a2_poc_005,0,0,0,1,0,0,0,1
a2_poc_005,1,0,0,0,0,0,0,0
a2_poc_005,2,0,0,0,0,0,0,0
a2_poc_005,3,0,0,0,0,1,0,1
a2_poc_005,4,0,0,1,1,0,0,2
a2_poc_005,5,0,0,0,0,0,0,0
a2_poc_005,6,0,0,1,0,0,0,1
a2_poc_005,7,0,0,0,0,0,0,0
a2_poc_005,8,0,0,0,0,1,0,1
a2_poc_005,9,0,0,1,1,0,0,2
a2_poc_010,0,0,0,1,0,1,0,2
a2_poc_010,1,0,0,1,1,0,0,2
a2_poc_010,2,0,0,1,1,0,0,2
a2_poc_010,3,0,0,1,1,0,0,2
a2_poc_010,4,0,0,1,1,0,0,2
a2_poc_010,5,0,0,1,0,0,0,1
a2_poc_010,6,0,0,1,1,0,0,2
a2_poc_010,7,0,0,0,0,1,0,1
a2_poc_010,8,0,0,1,1,1,0,3
a2_poc_010,9,0,0,1,1,0,0,2
a2_poc_020,0,0,0,1,1,1,0,3
a2_poc_020,1,0,0,1,1,1,0,3
a2_poc_020,2,0,0,1,1,0,0,2
a2_poc_020,3,0,0,1,1,0,0,2
a2_poc_020,4,0,0,1,1,1,0,3
a2_poc_020,5,0,0,1,1,1,0,3
a2_poc_020,6,0,0,1,1,0,0,2
a2_poc_020,7,0,0,1,1,1,0,3
a2_poc_020,8,0,0,1,1,1,0,3
a2_poc_020,9,0,0,1,1,0,0,2
a2_poc_050,0,0,0,1,1,0,0,2
a2_poc_050,1,0,0,1,1,1,0,3
a2_poc_050,2,0,0,1,1,0,0,2
a2_poc_050,3,0,0,1,1,1,0,3
a2_poc_050,4,0,0,1,1,1,0,3
a2_poc_050,5,0,0,1,1,1,1,4
a2_poc_050,6,0,0,1,1,0,0,2
a2_poc_050,7,0,0,1,1,1,0,3
a2_poc_050,8,0,0,1,1,1,0,3
a2_poc_050,9,0,0,1,1,1,0,3
a3_chl_20,0,1,1,0,1,0,0,3
a3_chl_20,1,1,1,0,0,0,0,2
a3_chl_20,2,1,1,0,1,0,0,3
a3_chl_20,3,1,1,0,0,0,0,2
a3_chl_20,4,1,1,0,1,0,0,3
a3_chl_20,5,1,1,0,0,0,0,2
a3_chl_20,6,1,1,0,1,0,0,3
a3_chl_20,7,1,1,0,0,0,0,2
a3_chl_20,8,1,1,0,0,0,0,2
a3_chl_20,9,1,1,0,1,0,0,3
a3_chl_25,0,1,1,1,0,0,0,3
a3_chl_25,1,1,1,0,0,0,0,2
a3_chl_25,2,1,1,1,1,0,0,4
a3_chl_25,3,1,1,0,1,0,0,3
a3_chl_25,4,1,1,0,0,0,0,2
a3_chl_25,5,1,1,0,1,0,0,3
a3_chl_25,6,1,1,1,0,0,0,3
a3_chl_25,7,1,1,1,1,0,0,4
a3_chl_25,8,1,0,0,0,0,0,1
a3_chl_25,9,1,1,1,0,0,0,3
a3_chl_35,0,1,1,0,0,0,0,2
a3_chl_35,1,1,1,0,1,0,0,3
a3_chl_35,2,1,1,1,1,0,0,4
a3_chl_35,3,1,1,0,1,0,0,3
a3_chl_35,4,1,1,1,0,0,0,3
a3_chl_35,5,1,0,1,1,0,0,3
a3_chl_35,6,1,1,0,0,0,0,2
a3_chl_35,7,1,1,1,0,0,0,3
a3_chl_35,8,1,1,0,0,0,0,2
a3_chl_35,9,1,1,0,0,0,0,2
a3_chl_40,0,0,1,0,0,0,0,1
a3_chl_40,1,1,0,0,1,0,0,2
a3_chl_40,2,1,1,0,0,0,0,2
a3_chl_40,3,1,1,0,0,0,0,2
a3_chl_40,4,1,1,0,0,0,0,2
a3_chl_40,5,1,1,0,1,0,0,3
a3_chl_40,6,1,1,1,1,0,0,4
a3_chl_40,7,1,1,0,0,0,0,2
a3_chl_40,8,1,1,0,0,0,0,2
a3_chl_40,9,1,1,0,0,0,0,2
a3_chl_50,0,1,1,0,1,0,0,3
a3_chl_50,1,1,1,0,1,0,0,3
a3_chl_50,2,1,1,0,0,0,0,2
a3_chl_50,3,1,1,0,0,0,0,2
a3_chl_50,4,1,1,0,1,0,0,3
a3_chl_50,5,1,1,0,1,0,0,3
a3_chl_50,6,1,1,0,0,0,1,3
a3_chl_50,7,0,1,0,0,0,0,1
a3_chl_50,8,0,1,0,0,0,0,1
a3_chl_50,9,0,0,0,0,0,0,0
a3_chl_70,0,0,1,0,0,0,0,1
a3_chl_70,1,1,1,0,1,0,0,3
a3_chl_70,2,0,1,0,0,0,1,2
a3_chl_70,3,1,1,0,0,0,0,2
a3_chl_70,4,0,1,0,0,0,0,1
a3_chl_70,5,1,1,0,0,0,0,2
a3_chl_70,6,1,1,1,0,0,0,3
a3_chl_70,7,1,1,0,0,0,0,2
a3_chl_70,8,0,0,0,0,0,0,0
a3_chl_70,9,0,1,0,0,0,0,1
a4_rebal,0,1,1,0,1,0,0,3
a4_rebal,1,1,1,0,0,0,0,2
a4_rebal,2,1,1,1,0,0,0,3
a4_rebal,3,1,1,0,1,0,0,3
a4_rebal,4,1,1,0,1,0,0,3
a4_rebal,5,1,1,0,1,0,0,3
a4_rebal,6,1,1,1,0,0,0,3
a4_rebal,7,1,1,0,0,0,0,2
a4_rebal,8,1,1,0,0,0,0,2
a4_rebal,9,1,1,0,0,0,0,2
a4_so_15,0,1,1,1,0,0,0,3
a4_so_15,1,1,1,0,1,0,0,3
a4_so_15,2,1,1,1,0,0,0,3
a4_so_15,3,1,1,0,0,0,0,2
a4_so_15,4,1,1,0,0,0,0,2
a4_so_15,5,1,0,0,0,0,0,1
a4_so_15,6,1,1,1,0,0,0,3
a4_so_15,7,1,1,0,1,0,0,3
a4_so_15,8,1,1,0,0,0,0,2
a4_so_15,9,1,1,0,1,0,0,3
a4_so_25,0,1,1,1,0,0,0,3
a4_so_25,1,1,1,0,0,0,0,2
a4_so_25,2,1,1,0,1,0,0,3
a4_so_25,3,1,1,0,1,0,0,3
a4_so_25,4,1,1,0,0,0,0,2
a4_so_25,5,1,1,0,1,0,0,3
a4_so_25,6,1,1,1,0,0,0,3
a4_so_25,7,1,1,1,0,0,0,3
a4_so_25,8,1,1,0,0,0,0,2
a4_so_25,9,1,1,0,0,0,0,2
a4_so_30,0,1,1,1,0,0,0,3
a4_so_30,1,1,1,0,1,0,0,3
a4_so_30,2,1,1,0,1,0,1,4
a4_so_30,3,1,1,0,1,0,0,3
a4_so_30,4,1,1,0,1,0,0,3
a4_so_30,5,1,1,1,1,0,0,4
a4_so_30,6,1,1,0,0,0,0,2
a4_so_30,7,1,1,0,0,0,0,2
a4_so_30,8,1,1,1,0,0,0,3
a4_so_30,9,1,1,0,0,0,0,2
a5_ep2000,0,1,1,0,0,0,0,2
a5_ep2000,1,1,1,0,0,0,0,2
a5_ep2000,2,1,1,1,1,0,0,4
a5_ep2000,3,1,1,1,0,0,0,3
a5_ep2000,4,1,1,0,0,0,0,2
a5_ep2000,5,1,1,0,1,0,0,3
a5_ep2000,6,1,1,1,1,0,0,4
a5_ep2000,7,1,1,0,0,0,0,2
a5_ep2000,8,1,1,0,1,0,0,3
a5_ep2000,9,1,1,1,1,0,0,4
a5_ep2500,0,1,1,0,0,0,0,2
a5_ep2500,1,1,1,0,0,0,0,2
a5_ep2500,2,1,1,0,1,0,0,3
